"Media And Storage Devices",Label,"Asset Name(s)","Threat Agent","Threat Action",Vulnerability,Control,Global,Media
Laptop,,RIS,"System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"One more","EDI Gateway","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
"Desktop / Laptop",,"Another Two",Burglar/Thief,"Theft of equipment","Anti-malware Vulnerabilities","Application, system or network vulnerability scanning",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
"Disk Array",,"Another Two","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Laptop,,"Laboratory Information System","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Laptop,,RIS,"Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
"Storage Area Network",,"Another Two","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application, system or network vulnerability scanning",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in commercial software","Application, system or network vulnerability scanning",TBD,TBD
"Desktop / Laptop",,"Another Two",Burglar/Thief,"Theft of equipment","Anti-malware Vulnerabilities","Audits of service providers",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
"Desktop / Laptop",,"Another Two",Burglar/Thief,"Theft of equipment","Anti-malware Vulnerabilities","Authentication of network sessions (as distinct from users)",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Insecure Network Configuration","Authentication of network sessions (as distinct from users)",TBD,TBD
